ToA 	 ToA_mid 	 ToA_start 	 ToA_end 	 ToA_lenInt 	 ToA_exp 	 nbr_events 	 count_rate 	 phShift 	 phShift_LL 	 phShift_UL 	 Hpower 	 redChi2
30	58143.298469516805	58143.081038693	58143.515900175	0.434861483	558.043320081	10000.0	17.919755761	0.020834578976632656	0.034557519189487726	0.034557519189487726	347.5480314452446	2.1790277364032637
31	58143.57966707459	58143.515901378	58143.643432627	0.127531249	585.265063145	10000.0	17.086275313	-0.011965588504234681	0.04084070449666731	0.04084070449666731	287.72450911710706	1.3959892591935805
32	58143.71573700146	58143.643433244	58143.788040573	0.14460733	574.713511672	10000.0	17.399973721	0.016852830543556685	0.04084070449666731	0.04084070449666731	263.0627379890576	1.9533988412078476
33	58143.8136995813	58143.788040619	58143.839357651	0.051317033	571.002353216	10000.0	17.513062676	-0.02044339169807108	0.04084070449666731	0.04084070449666731	270.13888336984263	1.5298205898549244
34	58143.99938263442	58143.839358981	58144.159407495	0.320048514	598.661895655	10000.0	16.703919312	0.025534590609323615	0.034557519189487726	0.034557519189487726	295.10815648140596	1.0249901506058259
35	58144.25468778948	58144.159407794	58144.34996765	0.190559857	603.237929475	10000.0	16.577206955	-0.03283279273326967	0.034557519189487726	0.034557519189487726	282.92758518722115	0.633635167772963
36	58144.3573792279	58144.349968715	58144.364789728	0.014821013	595.570010017	10000.0	16.790637258	-0.009237158515608357	0.034557519189487726	0.034557519189487726	298.96797910847584	0.8149761922068806
37	58144.39141054319	58144.364791084	58144.418029742	0.053238658	563.042162033	10000.0	17.76065928	0.012061702888569226	0.04084070449666731	0.04084070449666731	259.3602829372085	0.9161863696608575
38	58144.486935084205	58144.418029839	58144.555840096	0.137810257	569.41154825	10000.0	17.561990147	0.005273479012646742	0.04084070449666731	0.04084070449666731	258.192394203441	1.4181477589476184
39	58144.62017838785	58144.555840908	58144.684515868	0.12867496	583.078857441	10000.0	17.150338882	0.003819024304117402	0.034557519189487726	0.034557519189487726	291.4047183523727	0.7445987498569102
40	58144.7427938701	58144.684515977	58144.801071763	0.116555786	581.933672167	10000.0	17.184088975	-0.014485633639906403	0.034557519189487726	0.034557519189487726	307.9248434245547	1.5678389240266954
41	58144.80286738295	58144.801072476	58144.80466229	0.003589813	310.159864649	5136.0	16.55920248	0.044388687103772195	0.0471238898038469	0.0471238898038469	147.01162128705647	1.189171029028637
